Transaction_ID,SKU,Date,Type,Quantity
SYN001,PROD-365,2026-04-24,In,31
SYN009,PROD-627,2026-04-24,In,65
SYN012,PROD-1363,2026-04-24,In,18
SYN015,PROD-1359,2026-04-24,In,52
SYN004,PROD-1014,2026-04-24,In,77
SYN006,PROD-1073,2026-04-24,In,19
SYN002,PROD-403,2026-04-24,In,62
SYN007,PROD-957,2026-04-24,In,30
SYN011,PROD-1350,2026-04-24,In,7
SYN005,PROD-1004,2026-04-24,In,15
SYN010,PROD-1362,2026-04-24,In,59
SYN013,PROD-1349,2026-04-24,In,17
SYN008,PROD-191,2026-04-24,In,31
SYN003,PROD-502,2026-04-24,In,31
SYN014,PROD-1361,2026-04-24,In,98
T001382,PROD-1349,2026-04-25,Out,1
T001671,PROD-1359,2026-04-25,Out,5
T000378,PROD-1014,2026-04-25,Out,1
T000379,PROD-1014,2026-04-25,Out,1
T001309,PROD-1363,2026-04-25,Out,1
T000931,PROD-627,2026-04-25,Out,1
T000094,PROD-403,2026-04-25,Out,3
T001124,PROD-1362,2026-04-25,Out,2
T001120,PROD-1362,2026-04-25,Out,2
T001279,PROD-1350,2026-04-25,Out,1
T000097,PROD-403,2026-04-25,Out,4
T000093,PROD-403,2026-04-25,Out,1
T001446,PROD-1361,2026-04-25,Out,3
T001125,PROD-1362,2026-04-26,Out,3
T000269,PROD-502,2026-04-26,Out,1
T000268,PROD-502,2026-04-26,Out,1
T000932,PROD-627,2026-04-26,Out,2
T000096,PROD-403,2026-04-26,Out,2
T000098,PROD-403,2026-04-26,Out,1
T001673,PROD-1359,2026-04-26,Out,2
T000941,PROD-627,2026-04-26,Out,3
T000935,PROD-627,2026-04-26,Out,3
T000934,PROD-627,2026-04-26,Out,4
T000933,PROD-627,2026-04-26,Out,3
T000270,PROD-502,2026-04-26,Out,2
T000275,PROD-502,2026-04-26,Out,2
T001126,PROD-1362,2026-04-26,Out,1
T000653,PROD-1004,2026-04-26,Out,1
T000376,PROD-1014,2026-04-26,Out,4
T001448,PROD-1361,2026-04-26,Out,1
T001441,PROD-1361,2026-04-27,Out,3
T001435,PROD-1361,2026-04-27,Out,2
T000383,PROD-1014,2026-04-27,Out,4
T001445,PROD-1361,2026-04-27,Out,4
T001308,PROD-1363,2026-04-27,Out,1
T000380,PROD-1014,2026-04-27,Out,1
T001436,PROD-1361,2026-04-27,Out,1
T000842,PROD-191,2026-04-27,Out,2
T001121,PROD-1362,2026-04-27,Out,1
T000274,PROD-502,2026-04-27,Out,3
T000002,PROD-365,2026-04-27,Out,1
T001450,PROD-1361,2026-04-27,Out,1
T000006,PROD-365,2026-04-27,Out,2
T000003,PROD-365,2026-04-28,Out,1
T001440,PROD-1361,2026-04-28,Out,2
T000654,PROD-1004,2026-04-28,Out,1
T000655,PROD-1004,2026-04-28,Out,1
T001123,PROD-1362,2026-04-28,Out,5
T001442,PROD-1361,2026-04-28,Out,2
T000939,PROD-627,2026-04-28,Out,2
T000278,PROD-502,2026-04-28,Out,1
T001437,PROD-1361,2026-04-28,Out,1
T001128,PROD-1362,2026-04-28,Out,2
T001434,PROD-1361,2026-04-28,Out,1
T000382,PROD-1014,2026-04-28,Out,1
T000381,PROD-1014,2026-04-28,Out,2
T001674,PROD-1359,2026-04-28,Out,1
T000377,PROD-1014,2026-04-28,Out,1
T000276,PROD-502,2026-04-28,Out,2
T001385,PROD-1349,2026-04-28,Out,4
T001439,PROD-1361,2026-04-29,Out,1
T000844,PROD-191,2026-04-29,Out,1
T000273,PROD-502,2026-04-29,Out,2
T000757,PROD-957,2026-04-29,Out,4
T001383,PROD-1349,2026-04-29,Out,1
T001438,PROD-1361,2026-04-29,Out,6
T000272,PROD-502,2026-04-29,Out,2
T000846,PROD-191,2026-04-29,Out,2
T000271,PROD-502,2026-04-29,Out,2
T001130,PROD-1362,2026-04-29,Out,1
T000005,PROD-365,2026-04-29,Out,2
T000095,PROD-403,2026-04-30,Out,1
T000936,PROD-627,2026-04-30,Out,1
T001307,PROD-1363,2026-04-30,Out,1
T000001,PROD-365,2026-04-30,Out,2
T000701,PROD-1073,2026-04-30,Out,1
T000700,PROD-1073,2026-04-30,Out,2
T001443,PROD-1361,2026-04-30,Out,2
T001447,PROD-1361,2026-04-30,Out,1
T000656,PROD-1004,2026-04-30,Out,1
T001384,PROD-1349,2026-04-30,Out,1
T000940,PROD-627,2026-04-30,Out,1
T000843,PROD-191,2026-04-30,Out,3
T001278,PROD-1350,2026-04-30,Out,1
T000845,PROD-191,2026-04-30,Out,2
T001127,PROD-1362,2026-04-30,Out,1
T000004,PROD-365,2026-04-30,Out,1
T001122,PROD-1362,2026-04-30,Out,1
T000938,PROD-627,2026-05-01,Out,1
T000937,PROD-627,2026-05-01,Out,1
T001449,PROD-1361,2026-05-01,Out,1
T001129,PROD-1362,2026-05-01,Out,1
T000756,PROD-957,2026-05-01,Out,1
T000277,PROD-502,2026-05-01,Out,1
T001444,PROD-1361,2026-05-01,Out,1
T000942,PROD-627,2026-05-01,Out,1
T001672,PROD-1359,2026-05-01,Out,4
T000841,PROD-191,2026-05-01,Out,3
T000948,PROD-627,2026-05-02,Out,1
T000945,PROD-627,2026-05-02,Out,2
T000943,PROD-627,2026-05-02,Out,1
T001462,PROD-1361,2026-05-02,Out,1
T001451,PROD-1361,2026-05-02,Out,1
T000110,PROD-403,2026-05-02,Out,1
T000394,PROD-1014,2026-05-02,Out,4
T000103,PROD-403,2026-05-02,Out,1
T000102,PROD-403,2026-05-02,Out,1
T000758,PROD-957,2026-05-02,Out,1
T000279,PROD-502,2026-05-02,Out,4
T000759,PROD-957,2026-05-02,Out,3
T000849,PROD-191,2026-05-02,Out,1
T000111,PROD-403,2026-05-02,Out,4
T001387,PROD-1349,2026-05-02,Out,2
T001388,PROD-1349,2026-05-02,Out,1
T000281,PROD-502,2026-05-03,Out,1
T000011,PROD-365,2026-05-03,Out,2
T001677,PROD-1359,2026-05-03,Out,1
T000760,PROD-957,2026-05-03,Out,1
T000012,PROD-365,2026-05-03,Out,1
T000387,PROD-1014,2026-05-03,Out,1
T000009,PROD-365,2026-05-03,Out,1
T000395,PROD-1014,2026-05-03,Out,2
T001144,PROD-1362,2026-05-03,Out,1
T001140,PROD-1362,2026-05-03,Out,5
T000763,PROD-957,2026-05-04,Out,1
T000848,PROD-191,2026-05-04,Out,3
T000283,PROD-502,2026-05-04,Out,3
T000388,PROD-1014,2026-05-04,Out,4
T000010,PROD-365,2026-05-04,Out,1
T001281,PROD-1350,2026-05-04,Out,1
T001386,PROD-1349,2026-05-04,Out,2
T001137,PROD-1362,2026-05-04,Out,3
T000393,PROD-1014,2026-05-04,Out,1
T001138,PROD-1362,2026-05-04,Out,1
T001134,PROD-1362,2026-05-04,Out,1
T000007,PROD-365,2026-05-04,Out,1
T000386,PROD-1014,2026-05-04,Out,4
T000392,PROD-1014,2026-05-04,Out,1
T000112,PROD-403,2026-05-04,Out,1
T001452,PROD-1361,2026-05-04,Out,2
T000099,PROD-403,2026-05-04,Out,2
T000947,PROD-627,2026-05-04,Out,1
T000853,PROD-191,2026-05-04,Out,1
T000950,PROD-627,2026-05-05,Out,2
T000113,PROD-403,2026-05-05,Out,1
T001143,PROD-1362,2026-05-05,Out,1
T000385,PROD-1014,2026-05-05,Out,1
T000384,PROD-1014,2026-05-05,Out,2
T001136,PROD-1362,2026-05-05,Out,1
T001135,PROD-1362,2026-05-05,Out,2
T000761,PROD-957,2026-05-05,Out,6
T000389,PROD-1014,2026-05-05,Out,2
T001461,PROD-1361,2026-05-05,Out,2
T000284,PROD-502,2026-05-05,Out,1
T000396,PROD-1014,2026-05-06,Out,3
T000391,PROD-1014,2026-05-06,Out,1
T001141,PROD-1362,2026-05-06,Out,1
T001142,PROD-1362,2026-05-06,Out,4
T000106,PROD-403,2026-05-06,Out,2
