Date,Transaction_ID,SKU,Product_Name,Quantity_Sold,Stock_After_Sale,Safety_Stock,Reorder_Point,Trigger_Type,New_Trigger
2017-09-28,T171543,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,238,63,284,WARNING,True
2017-09-28,T171596,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2,236,63,284,WARNING,False
2017-09-28,T171580,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3,233,63,284,WARNING,False
2017-09-29,T171661,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,91,27,123,WARNING,True
2017-09-29,T171701,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,90,27,123,WARNING,False
2017-09-29,T171649,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,89,27,123,WARNING,False
2017-09-29,T171777,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,88,27,123,WARNING,False
2017-09-29,T171699,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,87,27,123,WARNING,False
2017-09-29,T171750,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,86,27,123,WARNING,False
2017-09-29,T171657,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,85,27,123,WARNING,False
2017-09-29,T171656,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,84,27,123,WARNING,False
2017-09-29,T171771,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,228,63,284,WARNING,False
2017-09-29,T171741,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2,226,63,284,WARNING,False
2017-09-29,T171783,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,221,63,284,WARNING,False
2017-09-29,T171764,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,216,63,284,WARNING,False
2017-09-29,T171748,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,211,63,284,WARNING,False
2017-09-29,T171757,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,206,63,284,WARNING,False
2017-09-29,T171684,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,4,202,63,284,WARNING,False
2017-09-29,T171662,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,197,63,284,WARNING,False
2017-09-29,T171621,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3,194,63,284,WARNING,False
2017-09-30,T171846,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,107,34,155,WARNING,True
2017-09-30,T171819,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,106,34,155,WARNING,False
2017-09-30,T171825,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,105,34,155,WARNING,False
2017-09-30,T171875,PROD-1073,Pelican Sunstream 100 Kayak,1,99,31,139,WARNING,True
2017-09-30,T171823,PROD-1073,Pelican Sunstream 100 Kayak,1,98,31,139,WARNING,False
2017-09-30,T171856,PROD-1073,Pelican Sunstream 100 Kayak,1,97,31,139,WARNING,False
2017-09-30,T171799,PROD-1073,Pelican Sunstream 100 Kayak,1,96,31,139,WARNING,False
2017-09-30,T171829,PROD-1073,Pelican Sunstream 100 Kayak,1,95,31,139,WARNING,False
2017-09-30,T171944,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2,192,63,284,WARNING,False
2017-09-30,T171798,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,187,63,284,WARNING,False
2017-09-30,T171817,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2,185,63,284,WARNING,False
2017-09-30,T171948,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3,182,63,284,WARNING,False
2017-09-30,T171830,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,1,181,63,284,WARNING,False
2017-09-30,T171828,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,104,34,155,WARNING,False
2017-09-30,T171838,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,4,177,63,284,WARNING,False
2017-09-30,T171891,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,4,173,63,284,WARNING,False
2017-09-30,T171937,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,103,34,155,WARNING,False
2017-09-30,T171898,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,83,27,123,WARNING,False
2017-09-30,T171962,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,82,27,123,WARNING,False
2017-09-30,T171866,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,81,27,123,WARNING,False
2017-09-30,T171903,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,80,27,123,WARNING,False
2017-09-30,T171880,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,79,27,123,WARNING,False
2017-09-30,T171941,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,78,27,123,WARNING,False
2017-09-30,T171924,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,77,27,123,WARNING,False
2017-09-30,T171870,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2,171,63,284,WARNING,False
2017-09-30,T171789,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,102,34,155,WARNING,False
2017-09-30,T171904,PROD-627,Under Armour Girls' Toddler Spine Surge Runni,4,167,63,284,WARNING,False
2017-09-30,T171821,PROD-1014,O'Brien Men's Neoprene Life Vest,4,341,115,518,WARNING,True
2017-09-30,T171847,PROD-1014,O'Brien Men's Neoprene Life Vest,4,337,115,518,WARNING,False
2017-09-30,T171785,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,101,34,155,WARNING,False
2017-09-30,T171888,PROD-1014,O'Brien Men's Neoprene Life Vest,2,335,115,518,WARNING,False
2017-09-30,T171860,PROD-1014,O'Brien Men's Neoprene Life Vest,5,330,115,518,WARNING,False
2017-09-30,T171835,PROD-1014,O'Brien Men's Neoprene Life Vest,3,327,115,518,WARNING,False
2017-09-30,T171923,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,100,34,155,WARNING,False
2017-09-30,T171813,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,99,34,155,WARNING,False
2017-09-30,T171936,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,98,34,155,WARNING,False
2017-09-30,T171929,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,97,34,155,WARNING,False
2017-09-30,T171864,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,96,34,155,WARNING,False
2017-09-30,T171802,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,95,34,155,WARNING,False
2017-10-01,T171993,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,129,44,199,WARNING,True
2017-10-01,T172071,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,128,44,199,WARNING,False
2017-10-01,T171966,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,127,44,199,WARNING,False
2017-10-01,T172110,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,126,44,199,WARNING,False
2017-10-01,T172048,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,125,44,199,WARNING,False
2017-10-01,T172074,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,124,44,199,WARNING,False
2017-10-01,T172002,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,123,44,199,WARNING,False
2017-10-01,T171975,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,122,44,199,WARNING,False
2017-10-01,T172098,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,121,44,199,WARNING,False
2017-10-01,T172026,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,120,44,199,WARNING,False
2017-10-01,T172120,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,119,44,199,WARNING,False
2017-10-01,T172030,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,118,44,199,WARNING,False
2017-10-01,T172089,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,117,44,199,WARNING,False
2017-10-01,T171972,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,116,44,199,WARNING,False
2017-10-01,T171976,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,115,44,199,WARNING,False
2017-10-01,T172085,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,114,44,199,WARNING,False
2017-10-01,T172014,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,113,44,199,WARNING,False
2017-10-01,T172078,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,112,44,199,WARNING,False
2017-10-01,T172094,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,111,44,199,WARNING,False
2017-10-01,T172059,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,110,44,199,WARNING,False
2017-10-01,T171995,PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1,109,44,199,WARNING,False
2017-10-01,T172037,PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,1,94,34,155,WARNING,False
2017-10-01,T171990,PROD-1014,O'Brien Men's Neoprene Life Vest,1,326,115,518,WARNING,False
2017-10-01,T172024,PROD-1073,Pelican Sunstream 100 Kayak,1,94,31,139,WARNING,False
2017-10-01,T171983,PROD-1073,Pelican Sunstream 100 Kayak,1,93,31,139,WARNING,False
2017-10-01,T172058,PROD-1073,Pelican Sunstream 100 Kayak,1,92,31,139,WARNING,False
2017-10-01,T172066,PROD-1073,Pelican Sunstream 100 Kayak,1,91,31,139,WARNING,False
2017-10-01,T171997,PROD-1073,Pelican Sunstream 100 Kayak,1,90,31,139,WARNING,False
2017-10-01,T172021,PROD-1014,O'Brien Men's Neoprene Life Vest,2,324,115,518,WARNING,False
2017-10-01,T171974,PROD-1073,Pelican Sunstream 100 Kayak,1,89,31,139,WARNING,False
2017-10-01,T172011,PROD-1073,Pelican Sunstream 100 Kayak,1,88,31,139,WARNING,False
2017-10-01,T172008,PROD-1073,Pelican Sunstream 100 Kayak,1,87,31,139,WARNING,False
2017-10-01,T172067,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,76,27,123,WARNING,False
2017-10-01,T172084,PROD-957,Diamondback Women's Serene Classic Comfort Bi,1,75,27,123,WARNING,False
